Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
Common Food,0 greek yogurt,1 oz ( 28.35g ),23.2,0,0,0,0.0003,1.1,9.4,3.4,0.17,3.2,2.28,0.1,0.1,2.5,0.2
Common Food,0% greek yogurt,1 oz ( 28.35g ),23.2,0,0,0,0.0003,1.1,9.4,3.4,0.17,3.2,2.28,0.1,0.1,2.5,0.2
Common Food,1 superone foods hotdog buns,1 bun ( 39g ),110,9,1,0,0,0,180,20,0.5,2,3,0,0,3.6,7.7
Common Food,1% milk,1 cup ( 244g ),102.5,18,2.4,1.5,,12.2,107.4,12.2,0,12.69,8.22,47.8,0,27.7,0.5
Common Food,100 calorie oreo,1 pack ( 23g ),100,18,2,0,0,0,150,19,0.5,8,1,0,0,0,5.1
Common Food,100 plus,8 fl oz ( 244g ),63.4,0,0,0,0,0,95.2,15.7,0,12.79,0,0,1.6,0.2,0.9
Common Food,2% milk,1 cup ( 244g ),122,36,4.8,3.1,0.2074,19.5,114.7,11.7,0,12.35,8.05,46.4,0.8,26.6,0.3
Common Food,3 musketeers,1 serving 2.13 oz bar ( 60g ),261.6,63,7.7,5.2,0.0774,3,116.4,46.7,0.9,40.13,1.56,4,0.2,2.9,2.9
Common Food,5 hour energy,1 bottle ( 54.72g ),4.9,0,0.1,0.1,0,0,7.7,0.9,0,0,0.07,0,0.2,0.1,0.5
Common Food,7 grain bread,1 slice regular ( 26g ),68.9,9,1.1,0.2,0,0,99.1,11.3,1.92,1.66,3.47,0,0,2.4,4.6
Common Food,7 layer bean dip,0.25 cup ( 52.58g ),62,36,4.1,1.6,0.0596,7.6,255.9,4.6,1.5,1.01,2.14,33.3,4.6,3.8,3.8
Common Food,7 up,1 can ( 368g ),150.9,0,0,0,,0,36.8,38.4,0,38.2,0.33,0,0,0.7,0.5
Common Food,7up,1 can ( 368g ),150.9,0,0,0,,0,36.8,38.4,0,38.2,0.33,0,0,0.7,0.5
Common Food,a 1,1 tbsp ( 17g ),15,0,0,,,,280,3,,2,0,,,,
Common Food,a1,1 tbsp ( 17g ),15,0,0,,,,280,3,,2,0,,,,
Common Food,abners famous chicken tenders fried chicken tender,1 tender ( 19.87g ),60,18,2,0,,20,220,2,0,,7,,0,0,2.6
Common Food,abners famous chicken tenders grilled chicken tender,1 tender ( 30.41g ),45,9,1.5,0,,20,140,0,0,,7,,0,0,2.6
Common Food,absolut regular vodka,1.5 fl oz ( 42g ),97,0,0,0,,0,0,0,0,0,0,0,0,0,0
Common Food,acapulco mexican restaurant y cantina sauteed vegetables,1 serving ( 139.71g ),120,0,,6,,,260,9,,,,,,,
Common Food,acorn squash,"1 cup, cubes ( 205g )",114.8,0,0.3,0.1,0,0,8.2,29.9,9.02,,2.3,87.7,36.9,8.2,13.6
Common Food,act ii popcorn,2 tbsp unpopped ( 32g ),130,54,6,2.5,0,0,280,19,3,,3,,,,5.1
Common Food,activia,1 container ( 100g ),99,9,1.1,0.7,,5,53,18.6,0,18.64,3.98,4,1,12.5,0.4
Common Food,activia blueberry yogurt,1 container ( 100g ),99,9,1.1,0.7,,5,53,18.6,0,18.64,3.98,4,1,12.5,0.4
Common Food,activia cherry,1 container ( 113g ),110,18,2,1,0,5,55,20,,17,4,,,13.6,
Common Food,activia strawberry,1 container ( 100g ),99,9,1.1,0.7,,5,53,18.6,0,18.64,3.98,4,1,12.5,0.4
Common Food,activia yogurt,1 container ( 100g ),99,9,1.1,0.7,,5,53,18.6,0,18.64,3.98,4,1,12.5,0.4
Common Food,adams peanut butter,2 tbsp ( 34.4g ),200.2,144,16.9,2.6,0.0092,0,118.7,7.2,2.86,1.67,8.3,0,0,1.8,3.9
Common Food,advocare meal replacement shake chocolate,1 pouch ( 2.06g ),220,27,3,1,0,40,80,24,6,12,24,75,15,45.5,25.7
Common Food,advocare spark energy fruit punch,1 scoop ( 7g ),15,0,,,,,,4,,,,100,300,,
Common Food,agave,1 tsp ( 6.9g ),21.4,0,0,0,,0,0.3,5.3,0.01,4.69,0.01,1.1,2,0,0
Common Food,agave nectar,1 tsp ( 6.9g ),21.4,0,0,0,,0,0.3,5.3,0.01,4.69,0.01,1.1,2,0,0
Common Food,agedashi tofu,1 piece with sauce ( 105.59g ),132.1,81,9.3,1,0.1546,0.4,273.9,6.4,0.69,2.09,6.77,2.1,0.6,14.9,9.1
Common Food,ahi tuna,3 oz ( 85g ),110.5,0,0.5,0.2,0.017,40,45.9,0,0,0,24.78,5.5,0,0.3,5.6
Common Food,aidells chicken and apple,1 link ( 91g ),180,117,13,4,0,90,670,3,0.5,2,13,,2,3.6,7.7
Common Food,aioli,1 tbsp ( 14.08g ),97.3,90,10.7,1.6,0,17.6,43.5,0.3,0.03,0.04,0.3,2.4,0.6,0.3,0.8
Common Food,air heads,1 bar ( 15g ),62.7,9,1,0.2,0.3416,0,0.5,13.6,0.05,8.98,0.01,0,0,0,0.2
Common Food,air popped popcorn,1 cup ( 8g ),30.6,0,0.3,0.1,,0,0.3,6.2,1.21,,0.96,0.2,0,0.1,1.5
Common Food,airheads,1 bar ( 15g ),62.7,9,1,0.2,0.3416,0,0.5,13.6,0.05,8.98,0.01,0,0,0,0.2
Common Food,albacore tuna,1 can ( 172g ),220.2,45,5.1,1.4,,72.2,648.4,0,0,0,40.63,3.4,0,2.2,11.9
Common Food,albacore tuna can,1 can ( 172g ),220.2,45,5.1,1.4,,72.2,648.4,0,0,0,40.63,3.4,0,2.2,11.9
Common Food,alcohol,1 jigger (1.5 fl oz) ( 42g ),97,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.1
Common Food,alfalfa sprouts,1 cup ( 33g ),7.6,0,0.2,0,0,0,2,0.7,0.63,0.07,1.32,5.1,4.5,1,2.3
Common Food,alfredo,0.25 cup ( 62.05g ),268.6,225,25.4,15.6,0.9145,74.5,605.8,3.9,0.09,0.79,7.08,103.9,3.9,18.9,1.8
Common Food,alfredo sauce,0.25 cup ( 62.05g ),268.6,225,25.4,15.6,0.9145,74.5,605.8,3.9,0.09,0.79,7.08,103.9,3.9,18.9,1.8
Common Food,all natural peanut butter,2 tbsp ( 34.4g ),200.2,144,16.9,2.6,0.0092,0,118.7,7.2,2.86,1.67,8.3,0,0,1.8,3.9
Common Food,all purpose flour,1 cup ( 125g ),455,9,1.2,0.2,,0,2.5,95.4,3.38,0.34,12.91,0,0,1.7,41.4
Common Food,all whites,3 tbsp ( 46g ),23.9,0,0.1,0,,0,76.4,0.3,0,0.33,5.01,0,0,0.3,0.3
Common Food,all whites liquid egg whites,3 tbsp ( 46g ),25,0,0,0,0,0,75,0,0,0,5,,,0.2,0
Common Food,almond,1 almond ( 1.29g ),7.7,0,0.7,0.1,0.0001,0,6.4,0.3,0.14,0.06,0.27,0,0,0.3,0.3
Common Food,almond butter,1 tbsp ( 16g ),98.2,72,8.9,0.7,,0,1.1,3,1.65,0.71,3.35,0,0,5,4
